Comment,Liked
"A great front-facing phone that's great
",1
The appearance of the back may not be like a series of friends because it's not very good,0
Hardware is very powerful and very heavy software runs smoothly,1
"If you're having trouble with it, it's a good phone and a lot better than the rest",1
"The screen of this handset is one of the most revolutionary types available in the market, which has made other manufacturers mimic it",1
"Using all the available space for the screen is superb, and the shape and appearance of the perfect",1
"Due to lack of space and compression, the battery icon is only located and can not see the battery percentage",0
"The quality of the display is excellent and it's a good light source. Everything is clear and excellent, and it's quite satisfying",1
The light of the mobile is not unnecessary.,0
"The quality of the display is excellent and it's a good light source. Everything is clear and excellent, and it's quite satisfying",1
"The camera captures and captures quality photos in all optical conditions, whether it's in Salafi 
In the rear cameras.
",1
Its quality is not the same as Samsung's flagship handsets this year,0
"In face recognition, I have to say that it works very accurately and quickly, and even in the darkness of the face, it clearly identifies the face and does not make any mistake",1
"It is nice and beautiful.
",1
"It has a beautiful, very elegant and elegant design",1
"The drawbacks to the design of this product are that the back of the phone with the body is not flat and out of sight, which does not put on the smooth surfaces and the table does not fit well",0
It completely fascinated people and completely satisfied them,1
"And one point is the removal of fingerprints on this handset, which would have been better if it was moved below the screen until it was not at all",0
The battery life of the iPhone 4 was not as good as I wanted and did not meet my expectations,0
"The AMOLED screen is more capacious than its predecessor
",1
Due to the lower consumption of CPU it was not satisfied,0
I dare to say that IOS is one of the busiest hosts. I got the phone that I got from the name tag that was the method of bug,0
"Fortunately, the new update came up with a lot of fixes and fixes and the problem was resolved",1
The problem of not being compatible with this patchy resolution.,0
"For example, some games that are not upgraded or software are still not compatible with their X and X resolution.",0
"Opening the software, the screen size of the ordinary phones is not bigger and practically the big screen is useless.",0
There are some limitations to Android that may come from you.,0
The price of this product is very high.,0
"If you really do not have the money and buy it for you, buy a lower-end model or buy it. I really want to say a very necessary thing 
And you did not miss out. Just opening it with a face does not mean that you will be charged with this price difference
",0
"There are significant changes to the device's predecessors compared to previous generations. After using the Face Detection Sensor, the smartphone has changed dramatically the display quality and super-stereo sound of the handset",1
It really attracts the consumer,1
"It is located at high speed and completely rarely without the bug of this handset, which again has the head and neck of the other rivals, which no longer needs to be explained",1
"The Face Detection Sensor, which has really done it, is special for the device to be so special that even at night, for example, in the car or before sleep, which usually has very little light, this sensor can easily function and the phone opens without increasing the screen light. the show",1
"There are some interesting security benefits for this handset
",1
It was really special for me,1
"In the case of the camera and its quality, which you know better than I do, I only say that my friend, who bought the camera and bought him a 6 thoman, was a matte quality of this phone. That's enough explanationv",1
The operating system does not have any problems with the compatible phone,1
"If you are looking for a high quality phone with high software support, the option is perfect",1
I bought a quarter of everything I'm satisfied with,1
This phone is incredibly smart and comfortable,1
Everything is fine,1
Fine-eye ipad is more accurate and faster than the fingerprint of the ultra-waterproof and sturdy camera,1
The quality of the actual photo should be good after printing.,1
Is not worth the price,0
"Do not doubt if you have money, because it's better than the other one.",1
The only disadvantage of the iPhone 4 that nobody has pointed out to it is a foolish flash in the portrait mode that turns the eye red or white.,0
"I can safely say that the iPhone, in addition to the fact that there is no benefit to Android, is also far behind.",0
"You not only can not do much with the iPhone, but a series of things that you do is hard to do as fully as Android.",0
The iPhone's bug with this strange price,0
The phone has been hanged twice in the last 3 weeks,0
"Sometimes Facebook does not respond, and when it's working, it's too bad for a fingerprint   ",0
"In addition to all this, there is no button shutter that Android handsets make it work much slower than Android",0
It has a lot of battery life and is very slow to charge even though it has no capacity,0
"In short, it's really not worth the money you do not see",0
I'm sure to suggest it is great,1
The disadvantage for me is to be sensitive to blow because of glassv,0
"Its good quality is its superb camera quality, especially its selfie camera",1
"This is very bug, although I've upgraded to the latest update",0
"Instead of working well, it's good to work. The Fine-Dido Camera is really good and has a great deal of fun",1
"Hoping to get rid of bugs with later updates, because she really got nerves",0
The definition of the quality of this handset is like water in the hole,1
"I can only say that since this form of camera and screen has been used, other companies will follow this design imitate",1
I do not recommend buying a new phone at current prices in the Iranian market,0
Excellent and with a special quality of the Sasmangan display,1
"In a word, it's super good",1
The company has always proven a revolutionary product,1
"In this, everything is at its best.",1
Upgrading and synchronizing software and hardware will work best,1
"Due to the full coordination of software and hardware platforms, you will see a lot more performance",1
I can say that I'm totally satisfied with this product here,1
It's really great at all,1
High quality super camera,1
I'm totally satisfied with this,1
"Its disadvantage is that it can not be used without hands or handsfree without the conversion or airplanes, and of course, its current price in the Iranian market",0
This phone seems to be the best handset ever made by man to design it today,1
"If one ignores the weakness of the battery due to the high quality of the screen, in one word it is best",1
Do not doubt about the fewer features you can afford,0
"Some of the features that the app has just added is the fastest charge and wireless bandwidth (wireless charging) that Apple has just achieved, but only the ability to add any functionality to the phone without having to redo it, as Apple's slogan of innovation LT is",0
"You go to the sites and prices of both flags of medicine in dollars, and given the technology used at least a few years ahead of the current Apple, but the price is half",0
"An incredibly strong marketplace that makes every episode included in the market, and all the apps go to the standards that are needed to create unpolluted heavy duty games and ease of use",1
The cameras used in this handset are slightly lower than Samsung and Sony,1
"The screen, which Samsung has been able to add to the product in addition to the beauty of the product added features",1
One of the most powerful chips available.,1
The duplicates that Apple has introduced and those who have been limited to the same features as previously enjoyed a sense of innovation.,0
It's really not worth buying if you've gotten your money from where,0
"This handset came to my attention today, for a few minutes, I had a great design",1
The interface has really improved on the surface of the movie.,1
I recommend buying it for everyone,1
"In my opinion, the mistake of getting married when you can get the best deal with the lowest amount you can buy above this brand",0
"For the menu that we like, there are fewer and fewer types of apps, music, and movies on your phone. IPhone has limitations",0
This handset is great no flaws,1
There's no doubt that the phone is good,1
Capable of portrait photography.,1
The iPhone has not had dual SIM capabilities in any of its products.,0
"Apple's operating system, which is in perfect harmony with its hardware",1
This handset can take care of anyone,1
The new and fascinating changes that I have made to me are wonderful,1
"Most of all, in my opinion, is the appearance of a new phone that can be very appealing",1
The black margin on top of her page is so bad and nasty,0
"If you look at the rest of the phone, you'll see that half of that cost and need to be fixed",0
Exterior design and unique motion gestures,1
"This phone is superb and despite the fact that it has a large screen, but when you get your hands, you'll find that it's so cool",1
The quality of the build is high and everything is engineered,1
I love it buy it as soon as possible,1
It really is very expensive and worthless,0
No new innovations,0
"In the night, the camera is sleek so that it should not be excellent and does not adjust the light well",0
No competitor it is great,1
"Hanging, lag and lag that I had not had before",1
An animated feature is fun and amusing,1
There are plenty of features and lots of features,1
There's a big disadvantage that my iPhone has when it comes to battery life. Even when the battery is in storage,0
This phone has a lot of cool and interesting features,1
I must say that it's not a word - the culmination of human construction is undoubtedly ten years from all brands ahead of Apple,1
"Really even looking at it, I still have not got my mind to believe that something like that really is made",1
A great phone for everyday tasks,1
In terms of hardware and coordination of the operating system with great hardware,1
Apple's limitations then take a while,1
"The phone is good, but I do not think it's worth it at all",0
Its screen is immeasurable and in the first place you are fascinated by its light and color,1
"This handset is not priced at all, and it's not really good at designing",0
"In terms of camera and display, memory and innovation, the phone is on the lower end of the Sony and Samsung brands",0
Hardware and software create tidbits and create their own innovations,1
The great initiative and work is very comfortable with her,1
"The quality of the camera is very good, it is very good",1
"It's a pretty good phone, and it's good to be good",1
"It looks nice and attractive, and its quality is far better than other versions of the iPhone",1
The function of the face recognition system was not expected and does not have much security,0
Failure to support the fingerprint recognition system has made it even more cumbersome,0
Freeze the page and the strange and funny laggs,0
Extremely worth it is really worth buying,1
The highest technology and quality expected from a mobile phone,1
Experience with Facebook is very attractive and enjoyable,1
"High-quality camera, slim body and iPhone OS are the hallmarks of this product",1
Not worth the purchase price,0
The super-screen has a really high-quality sound,1
This is a great phone for everyone,1
"I can not find any faults, and I really do not care about Marcos without any prejudice",1
"The hardware is fantastic, and the operating system is smooth and well supported",1
The value of the purchase is very low,0
I'm very pleased with the purchase and the size is very good,1
I do not think this price is worth it,0
The camera that makes this phone look great,1
I'm really delighted with the camera,1
Its unique processor is the world's most powerful mobile processor,1
This phone is not worth the money with these features,0
"The iPhone is unique in terms of quality and performance, and is almost inseparable from other phones",1
The security and protection of the phone from unobtrusive information and photos are both crisp and fun,1
It has built-in quality and good security,1
The handset is very stylishly designed and easy to handle with one hand,1
Very fast and without logging apps,1
"The page glare seems to be better and more realistic, and the fingerprint is faster than the previous one",1
I've got a great experience in using this,1
"In any case, I worked very well with her. And all the stuff you expect from a phone
",1
This handset delivers the very best of day-to-day technology and is very nice and beautiful,1
The look is so stylish and extraordinary that the camera is better than all handsets,1
"The hardware is also extremely powerful, and the display is awesome.",1
There is absolutely no innovation,0
"In general, it's not worth the cost of battery life, which is very low",0
"A great mobile phone, no hesitation in buying, the Apple ecosystem is unique",1
This handset is really great when it comes to buying this handset. It's really worth it,1
"Unfortunately, I did not get the comments and I met a lot of shortcomings",0
"The appearance of the design is really great, with its back glass frame looks very stylish",1
Hardware is also very powerful and does not stop any game and software,1
"In any case, it's a great phone",1
This chipset is incredibly powerful and faster than the rest,1
"There is a great speed and convenience on the iPhone, and it's a good idea to take a moment to work",1
The handset does not hang or slow down at all,1
No need to say what he says. It's really great,1
has a great picture and unique portrait.,1
The glass frame behind the back and the appearance are very cordial and charming,1
"The system works fine, programs are well managed, RAM is responsive to everything",1
The software is heavily integrated with hardware and is exactly the same as the one with the highest quality.,1
There is no memory boost,0
The speed of the new processor is fantastic. It's great,1
The quality of the camera perfectly captures great photos in perfect shots,1
Lower battery capacity. There is also little memory,0
I'm really pleased to suggest buying it,1
"It's superb in quality, it's really the best phone everybody can have",1
It was perfectly standard and well. Not a fraction or a counterfeit item,1
It's really cool and flawless,1
"One of my doubts about the purchase of this phone was its battery life, which is disappointing",0
The display of the phone is very good and the colors are clear and natural,1
The camera of this camera is well-equipped with professional cameras,1
"I feel good about the quality of the glass because of the glass used, the size and size of the page, I think",1
"Due to the size of the handset, if you have a small hand, you can not work with one hand",0
I suggest you buy it because you will not regret it,1
Get the most out of the moment with this awesome handset.,1
The handset is fairly good if you have the money.,1
"Altogether, a phone that has everything to boycott in Iran and this price is high, I do not think it's worth the purchase",0
"I bought this phone. And I'm really pleased to suggest buying it
",1
The handset is in high-end hardware and software,1
"No progress in the previous version, both in terms of design and hardware, makes you feel a little fresh when you get your hands.",0
"It's really a good phone. It's worth the purchase, as always, just like every other year",1
You are not in Iran and there are a lot of restrictions,0
It is backed up after several years and is always fast and without a regiment,1
Unobtrusive battery Lack of Bluetooth support No software support,0
no Innovation or new ideas,0
"Without any bias, I say really a great phone",1
"I'm fine about the camera. In the photos of Salafi, you can see all the details of your face clearly.",1
"Given its price, it's not worth it at all, and just drop your money",0
Really Apple is back in the design of the phone,0
Another Iranian user who banned Iranian software would have to pay for this phone,0
I wish my price was even more reasonable,0
"After two months of use, I can say it's really great",1
"Apple has used a new technology on the display, with high-quality displays",1
"Limit, difficulty and expensive without reason",0
"The quality of the phone is very high, and the phone's high weight makes sense to you",1
"Considering the slight changes, I think there are better options for a more affordable price",0
"The speed of quality security has everything in place, and so far it is unique",1
It's really a luxury and stylish phone and never gets old,1
The handset is in good quality,1
High-speed and high-quality camera,1
The one who has been using this phone for years can be sure of its fast functioning,1
"Unfortunately, it's not clear! I want to see him; I had a thrill, but it was useless",0
The battery is poor compared to the rest of the flag,0
I have to say it's really great and worth buying,1
No significant innovation and no value in purchasing,0
A series of changes to the camera and the creation of a laser sensor and processor special for the camera has made a dramatic development that will make a powerful camera phone and camera in your hand,1
The innovations of this version of the iPhone are small and apparently have little progress,0
Just made money for pocket money and there is nothing to say,0
"After a while, it goes down and hangs",0
Its price is really astonishing and worthless,0
"Touch quality, camera and impeccable hardware",1
This is really a fanciful giant,1
Not as impressive as the old one,0
Slipping down and speeding and hanging,0
"When your handset is running everyday, no value is worth buying",0
A special and modern handset that never gets old,1
Friends looking for the camera are the phone for perfect shooting,1
"Friends of the game, this phone also has a bit of image quality in terms of image quality",1
"I've bought it and I'm very pleased, it's incredibly comfortable and effortless.",1
"Super, stylish and reliable",1
"The phone is good, I'm really happy, I've lost a lot of times a day, it's not worth the price",1
With this price is not at all affordable,0
It benefits from a very powerful chip,1
This handset is not worth the purchase with the design of a few years ago,0
Today I came to my hands. Very good camera quality,1
"Both in terms of hardware and software, and in terms of its sleekness and capabilities",1
It's great in terms of operating system and does not even run. It also runs heavy games without getting hot,1
Repeated appearance of Full Vision technology,0
The disadvantage of the camera out of the body of the phone is that if it fails to properly damage the frame,0
The bottom-left resolution does not allow the connection of the RAM,0
"Reducing battery power compared to previous version, although it works the same as the previous version",0
"The limitless speed of this handset, which unlocked the app, continued to work without slowing down",1
Beautiful design using metal and glass,1
"The high quality point of the camera is really great, the portrait mode on the camera is great",1
The strong point of all heavy gaming is ultimately the unpowering speed of the handset even in heavy use,1
The appearance of a bad and boring repeating appearance is ugly,0
"Apple has always been the pioneer in terms of beauty, device and operating system.",1
The game is fully compatible with the phone software and is very good,1
The battery capacity of the handset is slightly lower than the previous generation,0
"The handset finally supports wireless and fast charging, but the charge should be separately priced, which is, I think, worthwhile",1
"There is no sluggishness in the programs and tests that were taken from it, much stronger than the previous generation",1
Due to the sanctions and the lack of compatibility of many of the capabilities with the Iranian system of spending money,0
"You can work with iPhones for hours without any hurry or hang, which is not the case with other handsets. It does not make sense for the iPhone",1
Great for you. Make sure you do not mind,1
The sound of the speakers is great. Suitable high quality,1
Removing the headphone jack occasionally gets annoying,0
"The camera's original selfie camera is very good, especially in portrait mode",1
The charge is great. The battery does not really speak.,1
The quality of the build and the display is always great and nothing short of,1
it stopped and kept hanging my nerves,0
The margin is so old that the old design is counted and your innovation is not designed,0
"The price that has gone so high that you have the power to buy from someone you do not have a certain brand of fanaticism. You have to see what's going to look good and all the conditions, and not just focus on a particular brand",0
It's not good at all. It does not cost you much,0
Do not hesitate to get the best handsfree handset with the best high-end user interface,1
Easily performs everything with a lot of light,1
This ultra-slim handset is really great,1
The look and feel of the most versatile handset than its rivals,1
Very nice and wonderful camera is great,1
"I'm happy with the battery. If you want to experience a great phone, be sure to buy it. Do not doubt it",1
This phone is really great and does not need to be honored,1
There is little memory and its amount is not enough and limited.,0
Evolved two generations before the appearance of acceptable cost,1
"Quality does not come in handy, and if you set it up with Slow Wave, it will not be so interesting",0
"But other parts of it are not defined, and in the long run you will notice low quality",0
"Hardware with software has the highest level of coordination and collaboration, and this is a high efficiency of a system.",1
"With what justification, we should spend all this money on this device and not worth it",0
The hostility to the Iranians and the removal of Iranian apps from the App Store have many limitations,0
The memory stick is not supported and the main memory is low. No innovation,0
Do not buy this phone to get new updates and software bugs.,0
"The more natural white on the screen than its other handsets, such as Samsung, is its strong point",1
